1;Набор инструментов;30;70;60;45;45
2;Коробка аварийных сухпайков;20;22;25;23;15
3;Отрез шёлка;110;70;50;90;80
4;Компьютерные модули памяти;50;100;50;90;20
5;Лабораторный электронный термометр;200;310;200;320;300
6;Домашняя бабочко-собака (в криостазисе);180;50;-50;0;200
7;Столовый сервиз;7;6;5;5;6
8;Космический скафандр;200;700;450;550;550
9;Космический галстук-бабочка;3;10;3;4;1
10;Скрученный в рулон плоский телевизор с диагональю 300";75;50;90;50;40
11;Набор столовых приборов;4;4;1;1;3
12;Летние туфли;15;5;7;5;10
13;Карточка доступа на голографическую палубу;10;110;110;30;40
14;Коробка редких бумажных книг;120;80;90;150;170
15;Семена тыквы-росянки;5;3;15;30;100
16;Сканирующий кварковый микроскоп;200;800;600;1100;1000
17;Набор для видеостриминга;150;50;300;100;100
18;Вязаный свитер;20;20;20;20;20
19;Прожектор с изменяемой длиной волны;5;8;7;20;35
20;Албанская клавиатура;9;10;15;2;5
21;Складная недвижимость (высокие налоги);50;75;-30;-50;-40
22;Бутылка пряного меланжа ;50;25;95;100;50
23;Автоматический счётчик цыплят;20;75;20;70;90
24;Антикварный uPhone 17 (хорошее состояние);200;300;340;125;150
25;Световой меч (нерабочий);50;100;220;110;70
26;Инструмент для коррекции старшеклассников;200;250;150;400;500
27;Не подозрительные запчасти;3;30;5;7;5
28;Подозрительные запчасти;3;45;50;70;45
29;Мемуары "Нас называли BTS" (книги);70;40;100;10;120
30;Свидетельство о рождении Люка;30;5;25;10;5
